Company_Name,Year,Revenue_Increase_Rate,Operating_Income(added)_Increase_Rate,Net_Income(added)_Increase_Rate,Revenue_Profit_Status,Operating_Income(added)_Profit_Status,Net_Income(added)_Profit_Status,Debt_Equity_Ratio,ROA,ROE,EPS,PER,Current_Stock,Future_Stock
GS,2020,6.937796507031208,31.20968426588971,1.6759186572823677,P_Contd,P_Contd,L_Turned,25.28,6.8,8.52,-2564.0,-14.65,"{'Low': 37150, 'High': 37800, 'Close': 37550}","{'Low': 39000, 'High': 39550, 'Close': 39100}"
GS,2021,16.738122795295123,35.86450129562061,49.58173390461269,P_Contd,P_Contd,P_Turned,29.98,12.33,16.03,15304.0,2.55,"{'Low': 39000, 'High': 39550, 'Close': 39100}","{'Low': 43550, 'High': 44300, 'Close': 43800}"
GS,2022,5.721868135847916,-26.358648761979435,-21.84281242788304,P_Contd,P_Contd,P_Contd,24.19,9.77,12.14,22634.0,1.94,"{'Low': 43550, 'High': 44300, 'Close': 43800}",0
현대차2우B,2017,,,,,,,,,,,,"{'Low': 100000, 'High': 104000, 'Close': 102000}","{'Low': 73200, 'High': 77900, 'Close': 77000}"
현대차2우B,2018,,,,,,,,,,,,"{'Low': 73200, 'High': 77900, 'Close': 77000}","{'Low': 79100, 'High': 80800, 'Close': 79400}"
현대차2우B,2019,,,,,,,,,,,,"{'Low': 79100, 'High': 80800, 'Close': 79400}","{'Low': 89300, 'High': 90200, 'Close': 89600}"
현대차2우B,2020,,,,,,,,,,,,"{'Low': 89300, 'High': 90200, 'Close': 89600}","{'Low': 99200, 'High': 101500, 'Close': 101000}"
현대차2우B,2021,,,,,,,,,,,,"{'Low': 99200, 'High': 101500, 'Close': 101000}","{'Low': 73900, 'High': 76700, 'Close': 73900}"
현대차2우B,2022,,,,,,,,,,,,"{'Low': 73900, 'High': 76700, 'Close': 73900}",0
LG디스플레이,2017,0.0,0.0,0.0,P,P,P,30.79,14.53,19.0,5038.0,5.49,"{'Low': 27451, 'High': 27913, 'Close': 27636}","{'Low': 16544, 'High': 16914, 'Close': 16683}"
LG디스플레이,2018,4.969345036534697,20.23448761404348,12.233047277251128,P_Contd,L_Turned,L_Turned,26.61,14.98,18.97,-579.0,-28.81,"{'Low': 16544, 'High': 16914, 'Close': 16683}","{'Low': 14973, 'High': 15343, 'Close': 15020}"
LG디스플레이,2019,-10.085108655904586,-209.59435757549008,-113.73305961191592,P_Contd,L_Contd,L_Contd,21.54,7.1,8.63,-7908.0,-1.9,"{'Low': 14973, 'High': 15343, 'Close': 15020}","{'Low': 16960, 'High': 17237, 'Close': 17145}"
LG디스플레이,2020,6.937796507031208,31.20968426588971,1.6759186572823677,P_Contd,L_Contd,L_Contd,25.28,6.8,8.52,-265.0,-64.7,"{'Low': 16960, 'High': 17237, 'Close': 17145}","{'Low': 22136, 'High': 22875, 'Close': 22737}"
LG디스플레이,2021,16.738122795295123,35.86450129562061,49.58173390461269,P_Contd,P_Turned,P_Turned,29.98,12.33,16.03,3315.0,6.86,"{'Low': 22136, 'High': 22875, 'Close': 22737}","{'Low': 11460, 'High': 11691, 'Close': 11507}"
LG디스플레이,2022,5.721868135847916,-26.358648761979435,-21.84281242788304,P_Contd,L_Turned,L_Turned,24.19,9.77,12.14,-8584.0,-1.34,"{'Low': 11460, 'High': 11691, 'Close': 11507}",0
한미약품,2017,0.0,0.0,0.0,P,P,P,30.79,14.53,19.0,5482.0,95.26,"{'Low': 515955, 'High': 524003, 'Close': 522216}","{'Low': 414658, 'High': 428785, 'Close': 422863}"
한미약품,2018,4.969345036534697,20.23448761404348,12.233047277251128,P_Contd,P_Contd,P_Contd,26.61,14.98,18.97,2158.0,195.95,"{'Low': 414658, 'High': 428785, 'Close': 422863}","{'Low': 268653, 'High': 276077, 'Close': 275151}"
한미약품,2019,-10.085108655904586,-209.59435757549008,-113.73305961191592,P_Contd,P_Contd,P_Contd,21.54,7.1,8.63,4514.0,60.96,"{'Low': 268653, 'High': 276077, 'Close': 275151}","{'Low': 338374, 'High': 352078, 'Close': 346409}"
한미약품,2020,6.937796507031208,31.20968426588971,1.6759186572823677,P_Contd,P_Contd,P_Contd,25.28,6.8,8.52,977.0,354.56,"{'Low': 338374, 'High': 352078, 'Close': 346409}","{'Low': 263531, 'High': 270757, 'Close': 265940}"
한미약품,2021,16.738122795295123,35.86450129562061,49.58173390461269,P_Contd,P_Contd,P_Contd,29.98,12.33,16.03,5375.0,49.48,"{'Low': 263531, 'High': 270757, 'Close': 265940}","{'Low': 285509, 'High': 295810, 'Close': 292377}"
한미약품,2022,5.721868135847916,-26.358648761979435,-21.84281242788304,P_Contd,P_Contd,P_Contd,24.19,9.77,12.14,6648.0,43.98,"{'Low': 285509, 'High': 295810, 'Close': 292377}",0
코웨이,2017,0.0,0.0,0.0,P,P,P,30.79,14.53,19.0,4484.0,21.79,"{'Low': 95800, 'High': 97700, 'Close': 97700}","{'Low': 73700, 'High': 75800, 'Close': 74100}"
코웨이,2018,4.969345036534697,20.23448761404348,12.233047277251128,P_Contd,P_Contd,P_Contd,26.61,14.98,18.97,4854.0,15.27,"{'Low': 73700, 'High': 75800, 'Close': 74100}","{'Low': 91400, 'High': 95000, 'Close': 93100}"
코웨이,2019,-10.085108655904586,-209.59435757549008,-113.73305961191592,P_Contd,P_Contd,P_Contd,21.54,7.1,8.63,4611.0,20.19,"{'Low': 91400, 'High': 95000, 'Close': 93100}","{'Low': 71600, 'High': 72900, 'Close': 72700}"
코웨이,2020,6.937796507031208,31.20968426588971,1.6759186572823677,P_Contd,P_Contd,P_Contd,25.28,6.8,8.52,5584.0,13.02,"{'Low': 71600, 'High': 72900, 'Close': 72700}","{'Low': 74100, 'High': 77400, 'Close': 74400}"
코웨이,2021,16.738122795295123,35.86450129562061,49.58173390461269,P_Contd,P_Contd,P_Contd,29.98,12.33,16.03,6418.0,11.59,"{'Low': 74100, 'High': 77400, 'Close': 74400}","{'Low': 55600, 'High': 57100, 'Close': 55900}"
코웨이,2022,5.721868135847916,-26.358648761979435,-21.84281242788304,P_Contd,P_Contd,P_Contd,24.19,9.77,12.14,6314.0,8.85,"{'Low': 55600, 'High': 57100, 'Close': 55900}",0
현대오토에버,2017,,,,,,,,,,,,,
현대오토에버,2018,,,,,,,,,,,,,
현대오토에버,2019,,,,,,,,,,,,,
현대오토에버,2020,,,,,,,,,,,,,
현대오토에버,2021,,,,,,,,,,,,,
현대오토에버,2022,,,,,,,,,,,,,
현대건설,2017,0.0,0.0,0.0,P,P,P,30.79,14.53,19.0,1810.0,19.51,"{'Low': 34248, 'High': 35513, 'Close': 35319}","{'Low': 51859, 'High': 54389, 'Close': 53124}"
현대건설,2018,4.969345036534697,20.23448761404348,12.233047277251128,P_Contd,P_Contd,P_Contd,26.61,14.98,18.97,3424.0,15.52,"{'Low': 51859, 'High': 54389, 'Close': 53124}","{'Low': 40962, 'High': 41497, 'Close': 41157}"
현대건설,2019,-10.085108655904586,-209.59435757549008,-113.73305961191592,P_Contd,P_Contd,P_Contd,21.54,7.1,8.63,3656.0,11.26,"{'Low': 40962, 'High': 41497, 'Close': 41157}","{'Low': 35221, 'High': 36681, 'Close': 36438}"
현대건설,2020,6.937796507031208,31.20968426588971,1.6759186572823677,P_Contd,P_Contd,P_Contd,25.28,6.8,8.52,1097.0,33.22,"{'Low': 35221, 'High': 36681, 'Close': 36438}","{'Low': 44050, 'High': 44950, 'Close': 44450}"
현대건설,2021,16.738122795295123,35.86450129562061,49.58173390461269,P_Contd,P_Contd,P_Contd,29.98,12.33,16.03,3625.0,12.26,"{'Low': 44050, 'High': 44950, 'Close': 44450}","{'Low': 34900, 'High': 35950, 'Close': 34900}"
현대건설,2022,5.721868135847916,-26.358648761979435,-21.84281242788304,P_Contd,P_Contd,P_Contd,24.19,9.77,12.14,3637.0,9.6,"{'Low': 34900, 'High': 35950, 'Close': 34900}",0
삼성카드,2017,,,,,,,,,,,,"{'Low': 39250, 'High': 40000, 'Close': 39600}","{'Low': 34000, 'High': 34950, 'Close': 34550}"
